Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Marek	Koz³owski	Aleksandrówka	70	1		Józefów	541398563	Marek.Koz³owski@yahoo.com	15-437	Koz³owski	(1,'Marek','Koz³owski','','Aleksandrówka','Józefów','15-437','541398563','Marek.Koz³owski@yahoo.com','Koz³owski'),	'	,						Fiat Auto Poland SA
Marian	Jankowski	Dobrowolskiej	154	2	BP Europa SE Oddzia³ w Polsce	Karczew	580292348	Marian.Jankowski@hotmail.com	15-980	Jankowski	(2,'Marian','Jankowski','BP Europa SE Oddzia³ w Polsce','Dobrowolskiej','Karczew','15-980','580292348','Marian.Jankowski@hotmail.com','Jankowski'),	'	,						BP Europa SE Oddzia³ w Polsce
Piotr	Wojciechowski	Modrzewskiego	140	1		Koby³ka	547400126	Piotr.Wojciechowski@vp.pl	15-426	Wojciechowski	(1,'Piotr','Wojciechowski','','Modrzewskiego','Koby³ka','15-426','547400126','Piotr.Wojciechowski@vp.pl','Wojciechowski'),	'	,						GK Energa SA
Janusz	Kwiatkowski	Struga	147	1		Konstancin-Jeziorna	520238437	Janusz.Kwiatkowski@wp.pl	15-299	Kwiatkowski	(1,'Janusz','Kwiatkowski','','Struga','Konstancin-Jeziorna','15-299','520238437','Janusz.Kwiatkowski@wp.pl','Kwiatkowski'),	'	,						Kompania Wêglowa SA
W³adys³aw	Kaczmarek	Armii Krajowej	81	1		Kozienice	529477387	W³adys³aw.Kaczmarek@poczta.onet.pl	15-645	Kaczmarek	(1,'W³adys³aw','Kaczmarek','','Armii Krajowej','Kozienice','15-645','529477387','W³adys³aw.Kaczmarek@poczta.onet.pl','Kaczmarek'),	'	,						GK Enea SA
Adam	Mazur	Grottgera	74	2	Philip Morris International w Polsce	Legionowo	545312194	Adam.Mazur@o2.pl	15-956	Mazur	(2,'Adam','Mazur','Philip Morris International w Polsce','Grottgera','Legionowo','15-956','545312194','Adam.Mazur@o2.pl','Mazur'),	'	,						Philip Morris International w Polsce
Wies³aw	Krawczyk	Artylerzystów	72	1		£omianki	523117351	Wies³aw.Krawczyk@interia.pl	15-872	Krawczyk	(1,'Wies³aw','Krawczyk','','Artylerzystów','£omianki','15-872','523117351','Wies³aw.Krawczyk@interia.pl','Krawczyk'),	'	,						Volkswagen Poznañ Sp. z o.o.
Zdzis³aw	Piotrowski	Astronautów	4	1		Maków Mazowiecki	579496225	Zdzis³aw.Piotrowski@op.pl	15-815	Piotrowski	(1,'Zdzis³aw','Piotrowski','','Astronautów','Maków Mazowiecki','15-815','579496225','Zdzis³aw.Piotrowski@op.pl','Piotrowski'),	'	,						Orlen Paliwa Sp. z o.o.
Edward	Grabowski	Barczañska	3	1		Marki	559452575	Edward.Grabowski@tlen.pl	15-979	Grabowski	(1,'Edward','Grabowski','','Barczañska','Marki','15-979','559452575','Edward.Grabowski@tlen.pl','Grabowski'),	'	,						GK Jastrzêbskiej Spó³ki Wêglowej SA
Mieczys³aw	Nowakowski	Barwinek	172	1		Milanówek	571106184	Mieczys³aw.Nowakowski@gmail.com	15-388	Nowakowski	(1,'Mieczys³aw','Nowakowski','','Barwinek','Milanówek','15-388','571106184','Mieczys³aw.Nowakowski@gmail.com','Nowakowski'),	'	,						Lidl Polska Sklepy Spo¿ywcze Sp. z o.o. Sp. k.
Roman	Paw³owski	Barytowa	88	1		Miñsk Mazowiecki	553169389	Roman.Paw³owski@poczta.fm	15-568	Paw³owski	(1,'Roman','Paw³owski','','Barytowa','Miñsk Mazowiecki','15-568','553169389','Roman.Paw³owski@poczta.fm','Paw³owski'),	'	,						Pañstwowe Gospodarstwo Leœne Lasy Pañstwowe
Miros³aw	Michalski	Batalionów Ch³opskich	127	2	Carrefour w Polsce	Nasielsk	561319305	Miros³aw.Michalski@gazeta.pl	15-302	Michalski	(2,'Miros³aw','Michalski','Carrefour w Polsce','Batalionów Ch³opskich','Nasielsk','15-302','561319305','Miros³aw.Michalski@gazeta.pl','Michalski'),	'	,						Carrefour w Polsce
Grzegorz	Nowicki	B¹kowa	113	1		Nowy Dwór Mazowiecki	585176162	Grzegorz.Nowicki@go2.pl	15-405	Nowicki	(1,'Grzegorz','Nowicki','','B¹kowa','Nowy Dwór Mazowiecki','15-405','585176162','Grzegorz.Nowicki@go2.pl','Nowicki'),	'	,						Shell Polska Sp. z o.o.
Czes³aw	Adamczyk	Berberysowa	120	2	GK Polkomtel SA	Ostro³êka	574358235	Czes³aw.Adamczyk@yahoo.com	15-749	Adamczyk	(2,'Czes³aw','Adamczyk','GK Polkomtel SA','Berberysowa','Ostro³êka','15-749','574358235','Czes³aw.Adamczyk@yahoo.com','Adamczyk'),	'	,						GK Polkomtel SA
Dariusz	Dudek	Bernardyñska	101	2	GK Grupy Azoty SA	Otwock	564397558	Dariusz.Dudek@hotmail.com	15-614	Dudek	(2,'Dariusz','Dudek','GK Grupy Azoty SA','Bernardyñska','Otwock','15-614','564397558','Dariusz.Dudek@hotmail.com','Dudek'),	'	,						GK Grupy Azoty SA
Wojciech	Zaj¹c	Beskidzka	21	2	Polska Telefonia Cyfrowa SA (T-Mobile)	Piaseczno	597199549	Wojciech.Zaj¹c@vp.pl	15-311	Zaj¹c	(2,'Wojciech','Zaj¹c','Polska Telefonia Cyfrowa SA (T-Mobile)','Beskidzka','Piaseczno','15-311','597199549','Wojciech.Zaj¹c@vp.pl','Zaj¹c'),	'	,						Polska Telefonia Cyfrowa SA (T-Mobile)
Jacek	Wieczorek	Bêczkowska	47	1		Pionki	566357371	Jacek.Wieczorek@wp.pl	15-940	Wieczorek	(1,'Jacek','Wieczorek','','Bêczkowska','Pionki','15-940','566357371','Jacek.Wieczorek@wp.pl','Wieczorek'),	'	,						Polskie Sieci Elektroenergetyczne SA
Eugeniusz	Jab³oñski	Bêdziñska	166	2	GK Pelion SA	P³ock	532100561	Eugeniusz.Jab³oñski@poczta.onet.pl	15-479	Jab³oñski	(2,'Eugeniusz','Jab³oñski','GK Pelion SA','Bêdziñska','P³ock','15-479','532100561','Eugeniusz.Jab³oñski@poczta.onet.pl','Jab³oñski'),	'	,						GK Pelion SA
Tomasz	Król	Bia³ogoñska	22	2	Auchan Polska Sp. z o.o.	P³oñsk	583312388	Tomasz.Król@o2.pl	15-570	Król	(2,'Tomasz','Król','Auchan Polska Sp. z o.o.','Bia³ogoñska','P³oñsk','15-570','583312388','Tomasz.Król@o2.pl','Król'),	'	,						Auchan Polska Sp. z o.o.
Stefan	Majewski	Biesak	49	2	Samsung Electronics Polska Sp. z o.o.	Pruszków	543440541	Stefan.Majewski@interia.pl	15-669	Majewski	(2,'Stefan','Majewski','Samsung Electronics Polska Sp. z o.o.','Biesak','Pruszków','15-669','543440541','Stefan.Majewski@interia.pl','Majewski'),	'	,						Samsung Electronics Polska Sp. z o.o.
Zygmunt	Olszewski	Bieszczadzka	150	2	GK Synthos SA	Przasnysz	506482266	Zygmunt.Olszewski@op.pl	15-558	Olszewski	(2,'Zygmunt','Olszewski','GK Synthos SA','Bieszczadzka','Przasnysz','15-558','506482266','Zygmunt.Olszewski@op.pl','Olszewski'),	'	,						GK Synthos SA
Leszek	Jaworski	Naruszewicza	106	1		Przysucha	550141381	Leszek.Jaworski@tlen.pl	15-248	Jaworski	(1,'Leszek','Jaworski','','Naruszewicza','Przysucha','15-248','550141381','Leszek.Jaworski@tlen.pl','Jaworski'),	'	,						GK Budimex SA
Bogdan	Wróbel	Kaczmarka	91	1		Pu³tusk	521199393	Bogdan.Wróbel@gmail.com	15-891	Wróbel	(1,'Bogdan','Wróbel','','Kaczmarka','Pu³tusk','15-891','521199393','Bogdan.Wróbel@gmail.com','Wróbel'),	'	,						Imperial Tobacco Polska SA
Antoni	Malinowski	Jaworskiego	148	2	GK Neuca SA	Radom	598363289	Antoni.Malinowski@poczta.fm	15-979	Malinowski	(2,'Antoni','Malinowski','GK Neuca SA','Jaworskiego','Radom','15-979','598363289','Antoni.Malinowski@poczta.fm','Malinowski'),	'	,						GK Neuca SA
Pawe³	Pawlak	Kad³ubka	193	1		Radzymin	530367529	Pawe³.Pawlak@gazeta.pl	15-828	Pawlak	(1,'Pawe³','Pawlak','','Kad³ubka','Radzymin','15-828','530367529','Pawe³.Pawlak@gazeta.pl','Pawlak'),	'	,						GK Asseco Poland SA
Franciszek	Witkowski	Bitwy nad Bzur¹	123	1		Siedlce	548564388	Franciszek.Witkowski@go2.pl	15-305	Witkowski	(1,'Franciszek','Witkowski','','Bitwy nad Bzur¹','Siedlce','15-305','548564388','Franciszek.Witkowski@go2.pl','Witkowski'),	'	,						Statoil Fuel & Retail Polska Sp. z o.o.
S³awomir	Walczak	Bobrowa	50	2	LG Electronics Wroc³aw Sp. z o.o.	Sierpc	584274100	S³awomir.Walczak@yahoo.com	15-848	Walczak	(2,'S³awomir','Walczak','LG Electronics Wroc³aw Sp. z o.o.','Bobrowa','Sierpc','15-848','584274100','S³awomir.Walczak@yahoo.com','Walczak'),	'	,						LG Electronics Wroc³aw Sp. z o.o.
Waldemar	Stêpieñ	Bobrzañska	94	1		Sochaczew	580378515	Waldemar.Stêpieñ@hotmail.com	15-631	Stêpieñ	(1,'Waldemar','Stêpieñ','','Bobrzañska','Sochaczew','15-631','580378515','Waldemar.Stêpieñ@hotmail.com','Stêpieñ'),	'	,						GK Boryszew SA
Jaros³aw	Górski	Boczna	90	2	GK Farmacol SA	Soko³ów Podlaski	510502271	Jaros³aw.Górski@vp.pl	15-702	Górski	(2,'Jaros³aw','Górski','GK Farmacol SA','Boczna','Soko³ów Podlaski','15-702','510502271','Jaros³aw.Górski@vp.pl','Górski'),	'	,						GK Farmacol SA
Robert	Rutkowski	Bocznica	71	1		Sulejówek	540443189	Robert.Rutkowski@wp.pl	15-394	Rutkowski	(1,'Robert','Rutkowski','','Bocznica','Sulejówek','15-394','540443189','Robert.Rutkowski@wp.pl','Rutkowski'),	'	,						GK AB SA
Mariusz	Michalak	Bodzentyñska	50	1		Szyd³owiec	537305160	Mariusz.Michalak@poczta.onet.pl	15-953	Michalak	(1,'Mariusz','Michalak','','Bodzentyñska','Szyd³owiec','15-953','537305160','Mariusz.Michalak@poczta.onet.pl','Michalak'),	'	,						GK Specja³
W³odzimierz	Sikora	Bohaterów Warszawy	29	2	Grupa Muszkieterów	Warka	579331432	W³odzimierz.Sikora@o2.pl	15-461	Sikora	(2,'W³odzimierz','Sikora','Grupa Muszkieterów','Bohaterów Warszawy','Warka','15-461','579331432','W³odzimierz.Sikora@o2.pl','Sikora'),	'	,						Grupa Muszkieterów
Micha³	Ostrowski	Markowskiego	145	1		Warszawa	584255554	Micha³.Ostrowski@interia.pl	15-414	Ostrowski	(1,'Micha³','Ostrowski','','Markowskiego','Warszawa','15-414','584255554','Micha³.Ostrowski@interia.pl','Ostrowski'),	'	,						PKP Cargo SA
Zenon	Baran	Prusa	16	1		Wêgrów	525552172	Zenon.Baran@op.pl	15-227	Baran	(1,'Zenon','Baran','','Prusa','Wêgrów','15-227','525552172','Zenon.Baran@op.pl','Baran'),	'	,						Grupa Can-Pack SA
Bogus³aw	Duda	Borowa	38	2	GK GlaxoSmithKline Pharmaceuticals SA	Wo³omin	540554324	Bogus³aw.Duda@tlen.pl	15-652	Duda	(2,'Bogus³aw','Duda','GK GlaxoSmithKline Pharmaceuticals SA','Borowa','Wo³omin','15-652','540554324','Bogus³aw.Duda@tlen.pl','Duda'),	'	,						GK GlaxoSmithKline Pharmaceuticals SA
Witold	Szewczyk	Braterska	39	2	Philips Lighting Poland SA	Wyszków	505458312	Witold.Szewczyk@gmail.com	15-853	Szewczyk	(2,'Witold','Szewczyk','Philips Lighting Poland SA','Braterska','Wyszków','15-853','505458312','Witold.Szewczyk@gmail.com','Szewczyk'),	'	,						Philips Lighting Poland SA
Aleksander	Tomaszewski	Browarna	116	1		Zielonka	556174473	Aleksander.Tomaszewski@poczta.fm	15-287	Tomaszewski	(1,'Aleksander','Tomaszewski','','Browarna','Zielonka','15-287','556174473','Aleksander.Tomaszewski@poczta.fm','Tomaszewski'),	'	,						GK Kompania Piwowarska SA
Bronis³aw	Pietrzak	Jasieñskiego	148	2	Grupa Chemiczna Ciech	¯uromin	594280403	Bronis³aw.Pietrzak@gazeta.pl	15-287	Pietrzak	(2,'Bronis³aw','Pietrzak','Grupa Chemiczna Ciech','Jasieñskiego','¯uromin','15-287','594280403','Bronis³aw.Pietrzak@gazeta.pl','Pietrzak'),	'	,						Grupa Chemiczna Ciech
Wac³aw	Marciniak	Bruszniowa	68	1		¯yrardów	534495378	Wac³aw.Marciniak@go2.pl	15-413	Marciniak	(1,'Wac³aw','Marciniak','','Bruszniowa','¯yrardów','15-413','534495378','Wac³aw.Marciniak@go2.pl','Marciniak'),	'	,						LG Electronics M³awa Sp. z o.o.
Boles³aw	Wróblewski	Brzechowska	105	1		¯yrardów	596491191	Boles³aw.Wróblewski@yahoo.com	15-597	Wróblewski	(1,'Boles³aw','Wróblewski','','Brzechowska','¯yrardów','15-597','596491191','Boles³aw.Wróblewski@yahoo.com','Wróblewski'),	'	,						Grupa Cargill w Polsce
Ireneusz	Zalewski	Brzoskwiniowa	140	2	Grupa Skanska SA	Bytów	523581314	Ireneusz.Zalewski@hotmail.com	15-958	Zalewski	(2,'Ireneusz','Zalewski','Grupa Skanska SA','Brzoskwiniowa','Bytów','15-958','523581314','Ireneusz.Zalewski@hotmail.com','Zalewski'),	'	,						Grupa Skanska SA
Maciej	Jakubowski	Brzozowa	44	1		Chojnice	521418406	Maciej.Jakubowski@vp.pl	15-307	Jakubowski	(1,'Maciej','Jakubowski','','Brzozowa','Chojnice','15-307','521418406','Maciej.Jakubowski@vp.pl','Jakubowski'),	'	,						PKP Polskie Linie Kolejowe SA
Artur	Jasiñski	Bukowa	126	2	Rossmann Supermarkety Drogeryjne Polska Sp. z o.o.	Czarne	583374332	Artur.Jasiñski@wp.pl	15-895	Jasiñski	(2,'Artur','Jasiñski','Rossmann Supermarkety Drogeryjne Polska Sp. z o.o.','Bukowa','Czarne','15-895','583374332','Artur.Jasiñski@wp.pl','Jasiñski'),	'	,						Rossmann Supermarkety Drogeryjne Polska Sp. z o.o.
Edmund	Zawadzki	Bursztynowa	128	2	Kolporter Sp. z o.o. S.K.A.	Czersk	598335590	Edmund.Zawadzki@poczta.onet.pl	15-908	Zawadzki	(2,'Edmund','Zawadzki','Kolporter Sp. z o.o. S.K.A.','Bursztynowa','Czersk','15-908','598335590','Edmund.Zawadzki@poczta.onet.pl','Zawadzki'),	'	,						Kolporter Sp. z o.o. S.K.A.
Marcin	Sadowski	Buska	180	1		Cz³uchów	567537286	Marcin.Sadowski@o2.pl	15-827	Sadowski	(1,'Marcin','Sadowski','','Buska','Cz³uchów','15-827','567537286','Marcin.Sadowski@o2.pl','Sadowski'),	'	,						GK Polimex-Mostostal SA
Lech	B¹k	Cedrowa	192	1		Dzierzgoñ	532170499	Lech.B¹k@interia.pl	15-902	B¹k	(1,'Lech','B¹k','','Cedrowa','Dzierzgoñ','15-902','532170499','Lech.B¹k@interia.pl','B¹k'),	'	,						KGHM Metraco SA
Karol	Chmielewski	Cedro Mazur	61	1		Gdañsk	512420529	Karol.Chmielewski@op.pl	15-219	Chmielewski	(1,'Karol','Chmielewski','','Cedro Mazur','Gdañsk','15-219','512420529','Karol.Chmielewski@op.pl','Chmielewski'),	'	,						Volkswagen Motor Polska Sp. z o.o.
Rafa³	W³odarczyk	Cedzyñska	117	2	Grupa Saint-Gobain w Polsce	Gdynia	559540463	Rafa³.W³odarczyk@tlen.pl	15-868	W³odarczyk	(2,'Rafa³','W³odarczyk','Grupa Saint-Gobain w Polsce','Cedzyñska','Gdynia','15-868','559540463','Rafa³.W³odarczyk@tlen.pl','W³odarczyk'),	'	,						Grupa Saint-Gobain w Polsce
Arkadiusz	Borkowski	Ceglana	138	2	Grupa Animex	Gniew	515597574	Arkadiusz.Borkowski@gmail.com	15-222	Borkowski	(2,'Arkadiusz','Borkowski','Grupa Animex','Ceglana','Gniew','15-222','515597574','Arkadiusz.Borkowski@gmail.com','Borkowski'),	'	,						Grupa Animex
Leon	Czarnecki	Chabrowa	51	2	Zak³ady Azotowe Pu³awy SA	Hel	526452205	Leon.Czarnecki@poczta.fm	15-837	Czarnecki	(2,'Leon','Czarnecki','Zak³ady Azotowe Pu³awy SA','Chabrowa','Hel','15-837','526452205','Leon.Czarnecki@poczta.fm','Czarnecki'),	'	,						Zak³ady Azotowe Pu³awy SA
Sylwester	Sawicki	Charsznicka	194	1		Kartuzy	546562169	Sylwester.Sawicki@gazeta.pl	15-468	Sawicki	(1,'Sylwester','Sawicki','','Charsznicka','Kartuzy','15-468','546562169','Sylwester.Sawicki@gazeta.pl','Sawicki'),	'	,						Strabag Sp. z o.o.
Lucjan	Soko³owski	Chêciñska	155	1		Koœcierzyna	546474588	Lucjan.Soko³owski@go2.pl	15-303	Soko³owski	(1,'Lucjan','Soko³owski','','Chêciñska','Koœcierzyna','15-303','546474588','Lucjan.Soko³owski@go2.pl','Soko³owski'),	'	,						GK ABC Data SA
Julian	Urbañski	Ch³odna	193	1		Krynica Morska	580518553	Julian.Urbañski@yahoo.com	15-938	Urbañski	(1,'Julian','Urbañski','','Ch³odna','Krynica Morska','15-938','580518553','Julian.Urbañski@yahoo.com','Urbañski'),	'	,						Tele-Fonika Kable Sp. z o.o. S.K.A.
Wiktor	Kubiak	Ch³opska	9	1		Kwidzyn	597481162	Wiktor.Kubiak@hotmail.com	15-955	Kubiak	(1,'Wiktor','Kubiak','','Ch³opska','Kwidzyn','15-955','597481162','Wiktor.Kubiak@hotmail.com','Kubiak'),	'	,						Katowicki Holding Wêglowy SA
Romuald	Maciejewski	Chorzowska	63	2	EdF Energia Sp. z o.o.	Lêbork	571115193	Romuald.Maciejewski@vp.pl	15-388	Maciejewski	(2,'Romuald','Maciejewski','EdF Energia Sp. z o.o.','Chorzowska','Lêbork','15-388','571115193','Romuald.Maciejewski@vp.pl','Maciejewski'),	'	,						EdF Energia Sp. z o.o.
Bernard	Szczepañski	Cicha	86	2	Faurecia w Polsce	£eba	504277337	Bernard.Szczepañski@wp.pl	15-214	Szczepañski	(2,'Bernard','Szczepañski','Faurecia w Polsce','Cicha','£eba','15-214','504277337','Bernard.Szczepañski@wp.pl','Szczepañski'),	'	,						Faurecia w Polsce
Ludwik	Kucharski	Ciekocka	124	2	POLOmarket Sp. z o.o.	Malbork	538340182	Ludwik.Kucharski@poczta.onet.pl	15-363	Kucharski	(2,'Ludwik','Kucharski','POLOmarket Sp. z o.o.','Ciekocka','Malbork','15-363','538340182','Ludwik.Kucharski@poczta.onet.pl','Kucharski'),	'	,						POLOmarket Sp. z o.o.
Feliks	Wilk	Ciep³a	59	2	GK Grupy ¯ywiec SA	Miastko	552306346	Feliks.Wilk@o2.pl	15-932	Wilk	(2,'Feliks','Wilk','GK Grupy ¯ywiec SA','Ciep³a','Miastko','15-932','552306346','Feliks.Wilk@o2.pl','Wilk'),	'	,						GK Grupy ¯ywiec SA
Alfred	Kalinowski	Cisowa	25	2	GK Action SA	Nowy Dwór Gdañski	528319238	Alfred.Kalinowski@interia.pl	15-208	Kalinowski	(2,'Alfred','Kalinowski','GK Action SA','Cisowa','Nowy Dwór Gdañski','15-208','528319238','Alfred.Kalinowski@interia.pl','Kalinowski'),	'	,						GK Action SA
Alojzy	Lis	Cmentarna	18	2	Fiat Powertrain Technologies Poland Sp. z o.o.	Pelplin	537354444	Alojzy.Lis@op.pl	15-640	Lis	(2,'Alojzy','Lis','Fiat Powertrain Technologies Poland Sp. z o.o.','Cmentarna','Pelplin','15-640','537354444','Alojzy.Lis@op.pl','Lis'),	'	,						Fiat Powertrain Technologies Poland Sp. z o.o.
Przemys³aw	Mazurek	Cynkowa	2	2	P4 Sp. z o.o. (Play)	Prabuty	536408402	Przemys³aw.Mazurek@tlen.pl	15-861	Mazurek	(2,'Przemys³aw','Mazurek','P4 Sp. z o.o. (Play)','Cynkowa','Prabuty','15-861','536408402','Przemys³aw.Mazurek@tlen.pl','Mazurek'),	'	,						P4 Sp. z o.o. (Play)
Cezary	Wysocki	Norwida	57	2	Totalizator Sportowy Sp. z o.o.	Pruszcz Gdañski	554529532	Cezary.Wysocki@gmail.com	15-925	Wysocki	(2,'Cezary','Wysocki','Totalizator Sportowy Sp. z o.o.','Norwida','Pruszcz Gdañski','15-925','554529532','Cezary.Wysocki@gmail.com','Wysocki'),	'	,						Totalizator Sportowy Sp. z o.o.
Daniel	Adamski	Czarnowska	198	2	BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.	Puck	569535219	Daniel.Adamski@poczta.fm	15-678	Adamski	(2,'Daniel','Adamski','BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.','Czarnowska','Puck','15-678','569535219','Daniel.Adamski@poczta.fm','Adamski'),	'	,						BSH Sprzêt Gospodarstwa Domowego Sp. z o.o.
Miko³aj	KaŸmierczak	Czernid³o	7	2	Selgros Sp. z o.o.	Reda	516195500	Miko³aj.KaŸmierczak@gazeta.pl	15-823	KaŸmierczak	(2,'Miko³aj','KaŸmierczak','Selgros Sp. z o.o.','Czernid³o','Reda','15-823','516195500','Miko³aj.KaŸmierczak@gazeta.pl','KaŸmierczak'),	'	,						Selgros Sp. z o.o.
Ignacy	Wasilewski	Czerwonego Krzy¿a	95	2	Grupa Anwil SA	Rumia	575523420	Ignacy.Wasilewski@go2.pl	15-831	Wasilewski	(2,'Ignacy','Wasilewski','Grupa Anwil SA','Czerwonego Krzy¿a','Rumia','15-831','575523420','Ignacy.Wasilewski@go2.pl','Wasilewski'),	'	,						Grupa Anwil SA
Les³aw	Sobczak	Czêstochowska	13	2	Electrolux Poland Sp. z o.o.	Skarszewy	598460481	Les³aw.Sobczak@yahoo.com	15-552	Sobczak	(2,'Les³aw','Sobczak','Electrolux Poland Sp. z o.o.','Czêstochowska','Skarszewy','15-552','598460481','Les³aw.Sobczak@yahoo.com','Sobczak'),	'	,						Electrolux Poland Sp. z o.o.
Rados³aw	Czerwiñski	Czo³gistów	181	1		S³upsk	568235331	Rados³aw.Czerwiñski@hotmail.com	15-846	Czerwiñski	(1,'Rados³aw','Czerwiñski','','Czo³gistów','S³upsk','15-846','568235331','Rados³aw.Czerwiñski@hotmail.com','Czerwiñski'),	'	,						JTI Polska Sp. z o.o.
Konrad	Andrzejewski	Daleka	22	2	Grupa Valeo	Sopot	591321158	Konrad.Andrzejewski@vp.pl	15-849	Andrzejewski	(2,'Konrad','Andrzejewski','Grupa Valeo','Daleka','Sopot','15-849','591321158','Konrad.Andrzejewski@vp.pl','Andrzejewski'),	'	,						Grupa Valeo
Bogumi³	Cieœlak	Daleszycka	172	1		Starogard Gdañski	534509480	Bogumi³.Cieœlak@wp.pl	15-821	Cieœlak	(1,'Bogumi³','Cieœlak','','Daleszycka','Starogard Gdañski','15-821','534509480','Bogumi³.Cieœlak@wp.pl','Cieœlak'),	'	,						¯abka Polska Sp. z o. o.
Szczepan	G³owacki	D¹browska	122	1		Sztum	570389444	Szczepan.G³owacki@poczta.onet.pl	15-596	G³owacki	(1,'Szczepan','G³owacki','','D¹browska','Sztum','15-596','570389444','Szczepan.G³owacki@poczta.onet.pl','G³owacki'),	'	,						PLL LOT SA
Gerard	Zakrzewski	D¹browszczaków	158	1		Tczew	543431123	Gerard.Zakrzewski@o2.pl	15-316	Zakrzewski	(1,'Gerard','Zakrzewski','','D¹browszczaków','Tczew','15-316','543431123','Gerard.Zakrzewski@o2.pl','Zakrzewski'),	'	,						Indesit Company Polska Sp. z o.o.
Hieronim	Ko³odziej	Dereniowa	189	1		Ustka	578389233	Hieronim.Ko³odziej@interia.pl	15-207	Ko³odziej	(1,'Hieronim','Ko³odziej','','Dereniowa','Ustka','15-207','578389233','Hieronim.Ko³odziej@interia.pl','Ko³odziej'),	'	,						Orlen PetroTank Sp. z o.o.
Krystian	Sikorski	Dewoñska	81	1		Wejherowo	504538539	Krystian.Sikorski@op.pl	15-585	Sikorski	(1,'Krystian','Sikorski','','Dewoñska','Wejherowo','15-585','504538539','Krystian.Sikorski@op.pl','Sikorski'),	'	,						Grupa Bumar
Leonard	Krajewski	Dêbowa	113	2	GK NFI Empik Media&Fashion SA	W³adys³awowo	518502247	Leonard.Krajewski@tlen.pl	15-616	Krajewski	(2,'Leonard','Krajewski','GK NFI Empik Media&Fashion SA','Dêbowa','W³adys³awowo','15-616','518502247','Leonard.Krajewski@tlen.pl','Krajewski'),	'	,						GK NFI Empik Media&Fashion SA
